id,score,sentiment
11782794,8,1
11782794,8,-1
11782962,9,1
11782963,10,1
11782963,10,1
11783124,10,1
11783124,10,1
11783370,1,-1
11783463,10,1
11783940,10,1
11785816,10,1
11786851,8,1
11786931,10,1
11786931,10,1
11787034,9,1
11787442,10,1
11787442,10,1
11787442,10,1
11787442,10,1
11787490,10,1
11787490,10,1
11788259,10,1
11788318,10,1
11788318,10,1
11788319,3,-1
11788319,3,-1
11793394,10,1
11793394,10,1
11793397,10,1
11793397,10,1
11793397,10,1
11793459,5,-1
11793583,7,1
11793641,10,1
11793641,10,1
11793641,10,1
11793699,10,1
11793699,10,1
11793699,10,1
11793699,10,1
11793701,9,1
11793701,9,1
11793757,10,1
11793757,10,1
11793757,10,1
11793757,10,1
11793821,3,-1
11793877,2,-1
11793877,2,-1
11794010,10,1
11794065,10,1
11794065,10,1
11794065,10,1
11794065,10,1
11794129,0,-1
11794129,0,-1
11794181,8,-1
11794181,8,-1
11794298,10,1
11794298,10,1
11794298,10,1
11794298,10,1
11794536,8,-1
11794757,10,1
11794758,10,1
11794758,10,1
11794882,8,-1
11794926,8,1
11794926,8,-1
11795023,6,-1
11795024,9,1
11795024,9,-1
11795077,7,-1
11795855,10,1
11796068,1,-1
11796068,1,-1
11797539,9,1
11797540,10,1
11797544,9,-1
11797602,10,1
11797654,10,1
11797654,10,1
11797772,7,1
11797772,7,-1
11797772,7,-1
11798079,8,1
11798128,10,1
11798128,10,1
11798128,10,1
11798128,10,1
11798129,10,1
11798129,10,1
11798129,10,1
11798129,10,1
11801103,7,1
11801454,9,1
11801742,10,1
11801742,10,1
11801868,9,1
11801978,10,1
11801978,10,1
11801978,10,1
11802116,8,1
11802116,8,1
11802116,8,-1
11802492,6,-1
11802561,10,1
11802561,10,1
11802561,10,1
11802562,10,1
11802562,10,1
11802562,10,1
11802603,10,1
11802658,8,1
11803007,10,1
11803007,10,1
11803265,10,1
11803265,10,1
11803366,10,1
11803380,10,1
11803398,10,1
11803398,10,1
11803398,10,1
11803398,10,1
11803398,10,1
11803457,10,1
11803457,10,1
11805436,10,1
11805436,10,1
11805436,10,1
11805436,10,1
11805527,9,1
11805530,5,-1
11805591,10,1
11805719,10,1
11805722,10,1
11805779,8,1
11805779,8,-1
11806917,9,1
11807146,5,-1
11807156,1,-1
11807156,1,-1
11807348,6,1
11807348,6,-1
11807544,10,1
11807544,10,1
11807544,10,1
11807544,10,1
11807849,10,1
11808192,9,1
11808192,9,1
11808192,9,1
11808566,10,1
11808687,10,1
11808791,10,1
11808790,0,-1
11808796,10,1
11808796,10,1
11808803,5,-1
11809200,0,-1
11809271,8,-1
11809642,10,1
11809642,10,1
11809642,10,1
11809642,10,1
11809689,8,-1
11809740,10,1
11812260,10,1
11812358,0,-1
11812358,0,-1
11812752,0,-1
11817419,10,1
11817419,10,1
11819953,9,1
11819953,9,1
11820302,10,1
11820302,10,1
11820302,10,1
11820302,10,1
11820407,7,1
11820942,10,1
11820942,10,1
11820942,10,1
11820993,10,1
11820993,10,1
11821036,10,1
11821036,10,1
11821036,10,1
11821076,10,1
11821076,10,1
11821076,10,1
11821158,10,1
11821159,10,1
11821159,10,1
11821159,10,1
11821166,5,-1
11821229,10,1
11821229,10,1
11821229,10,1
11821229,10,1
11821334,6,1
11821334,6,-1
11821334,6,-1
